Report Date,Sol,Writer,Non-Nominal Systems,Notes on Non-Nom. Sys,Generator,Solar (SOC%),Diesel,Propane,Ethanol-Free Gasoline (gal),Water: Loft Tank (gal),Water: Meter (units),Water: Static Tank (gal),Pump Use,Water in GreenHab (gal),Water in ScienceDome (gal),Toilet Emptied?,Perseverance,P_Hours,P_Charge_Start,P_Charge_End,P_Charge_Status,Sojourner,So_Hours,So_Charge_Start,So_Charge_End,So_Charge_Status,Spirit,Sp_Hours,Sp_Charge_Start,Sp_Charge_End,Sp_charge_Status,Opportunity,O_Hours,O_charge_start,O_charge_end,O_charge_status,Curiosity,C_Hours,C_charge_start,C_charge_end,C_charge_status,Deimos,D_Hours,D_Charge_Start,D_Charge_End,D_Charge_Status,Rover Notes,ATV,HabCar,CrewCar,General Notes,Internet Status,Suits & Radio Status,Observatory,Health & Safety,HAB Notes,GreenHab Notes,ScienceDome Notes,RAM Notes,Questions
,SOL  4,David Attig,A couple sim suit chargers  and soldering iron.,A sim suit charging cable broke yesterday  due to having cold solder joints. I attempted to repair  but the soldering Iron broke after heating briefly.,,22,70 %,60 psi.,5 .,,134192.9,,Water  loft       yes,,,no,,,,,,ASSIGNED TO DIRECTOR,Unknown,N A,N A,N A,No,35.0,100 %,N A %,No,Yes,34.2,100 %,96 %,Yes,No,29.8,100 %,N A %,Yes,No,124.8,100%,N A %,No,,0.1,,,Eric made progress troubleshooting the beartooth devices by communicating with the manufacturer. The issue has not been resolved yet. Last night we waited too long to turn on the generator  SoC had dropped to 22%. This morning  it was only 26% after the generator running all night. It appears that the generator is not charging the batteries at all. SoC returned to 100% after a few hours of full sunlight. Mission Control  Shannon  is investigating further.,We re out  same as normal.,One piece suits nominal  still work to do on two piece suits. I changed some settings on radios we use during EVA  whisper function  to make the microphone more sensitive. Recieved new radios  opened one set. They are ready to use on EVAs. Demoted some older EVA radios to science dome  retired one radio from science dome and one from the green hab  both radios have issues .,Started sorting tools in toolbox  and radios chargers. Went out and checked water tank  confirmed we are half way through it.,Heavily watered  8  gallons  in morning at request of mission control.,Dishwasher experiment proceeding  more samples taken today.,,New radios retrieved from RAM airlock.,During a local EVA to practice medical emergencies  we had one crewmember suffer from heat exhaustion. EVA was cut short  crewmember is feeling better.,We would like some small cardboard boxes for organizing the HAB. They would also be good for moving material and supplies during EVAs  such as to from RAM .
,SOL  4,David Attig,Com radio  6  Sim suits  10  2  5  4  6.,Status unchanged since yesterday.,,80,70 %,60 psi.,5 .,,134126.7,,Water  loft       yes,,,yes,,,,,,ASSIGNED TO DIRECTOR,Unknown,N A,N A,N A,Yes,35.0,100 %,91 %,Yes,Out Of Service,31,N A,N A,N A,No,29.8,100 %,91 %,Yes,Yes,124.8,100%,94 %,Yes,,0,,,I took pans out of broiler underneath,As of 9 30 AM  we have 40% of our internet,All one piece suits are working  and,Supported two  4 hour  EVAs.,Picked some plants for lunch today.,Samples placed in incubator.,,Morning EVA team brought materials in from,None to report.,
Crew 193  25Apr2018,SOL  3,David Attig,Com radio  6  Sim suits  10  2  5  4  6.,Radio  06  newer style  only lasted 1 hour on EVA with a freshly charged battery. Radio will not be used for future EVAs. Sim suit 10 still has the badly scratched visor  suits 2  5  6 need maintenance on straps attaching neck ring to pack  and suit 4 has a broken charge connector.,,95,75 %,60 psi.,0 .,,134078.1,,Water  loft       yes,,,no,,,,,,ASSIGNED TO DIRECTOR,Unknown,N A,N A,N A,No,33.7,100 %,100 %,No,Out Of Service,31,N A,N A,N A,No,23,100 %,100 %,No,No,124.0,100%,100 %,No,,1.2,,,We would like the sim suit supply box dropped off in our airlock  so we can work on the two piece suits.,Appears to be working.,Radio 06 appears to transmit a beep continuously  draining the battery. Suits have some issues  see email titled  Details about EVA Suits .,supported two EVAs and investigated suit status. Sol Summary report for more details.,plants are doing well  see GreenHab report for more details.,Progress was made on dishwasher experiment  see Science Report for more details.,,Placed tools in RAM for future use  took boards apart and painted some to use for an MDRS sign.,Need to work on better balance between working in RAM and not breaking sim  see email  A few notes   about EVA duration  for details.,A few requests  listed in Sol Summary.
Crew 193  24Apr2018,SOL  2,David Attig,One piece EVA suit  10 and two piece EVA suit   6 have issues,One two piece suit  6  has straps broken holding on neck ring  Visor on suit 10 is heavily scratched and deemed unuseable. See Sol Summary for more details.,,86,75 %,60 psi.,0.75 .,,134008.9,,Water  loft       yes,,,yes,,,,,,ASSIGNED TO DIRECTOR,Unknown,N A,N A,N A,No,33.7,100 %,100 %,No,Out Of Service,31,N A,N A,N A,No,23,100 %,100 %,No,Yes,124.0,99%,98 %,Yes,,0.5,,,,By 8AM again today  we have used half of our allotted daily internet. Is re a way to monitor our internet over time without constantly logging on to check it  That way we could monitor usage and know if there is a peak time that it is being used.,Older style  silver front  radios appear to not transmit well enough to use in EVA. One two piece suit broke during EVA today  and 1 one piece suit was deemed unuseable due to scratches in the visor.,See Sol Summary report.,See GreenHab report,See Science report.,,We cut a board to use for a new sign in front of MDRS.,None to report.,See Sol Summary.
Crew 193  23Apr2018,SOL  1,David Attig,None,N A,,92,75 %,60 psi.,1 .,,133949.8,,Water  loft       yes,,,no,,,,,,ASSIGNED TO DIRECTOR,Unknown,N A,N A,N A,No,33.7,100 %,100 %,No,Out Of Service,31,N A,N A,N A,No,23,100 %,100 %,No,No,123.5,100%,100 %,No,,0.3,,,This morning we had an issue with the readings on the solar SoC before we turned off the generator. Systems seem to be nominal now.,Nominal. This morning  internet was very slow  while we still had 49% of our,All one piece suits are working  and were used today . Radios are nominal.,See Sol Summary report.,See GreenHab report,001 constructed dishwasher experiment. While checking SoC  I noticed one of the nuts had fallen from lock. It has been replaced  but is not fully tightened as that would interfere with Lock operations. We will keep an eye on it  suggest a longer bolt with two nuts jammed together in future upgrades.,,Sign marking area of our settlement was in RAM. Old sign was repaired and moved outside. New sign material is in RAM awaiting construction. Door was left open  engineering EVA was performed to close it.,None to report.,Nothing yet.
Crew 192  20Apr2018,,Richard Blakeman,Upper deck faucet leak continues.,,,100%,75% fuel,60%  telemetry reported by Shannon  psi.,25% gas left in one can.,,133860.0,,Water  loft       Yes,,,Yes. Last emptied today  April 21.,,,,,,ASSIGNED TO DIRECTOR,,,,,No,32.8  corrected,100%,100%,Yes,No,30.4,100%,100%,Yes,No,27.4,100%,100%,No,No  decommissioned,122.3,100%,100%,Yes,,0,Yes  dinner with incoming crew and water runs.,,Last minute cleaning and tasks to prepare hab for incoming crew.,0MB at 1900.,All suits and radios cleaned  charged  and prepped for incoming crew.,Worked through departure checklist.,See GreenHab Report.,None,,None,None,None
Crew 192  20Apr2018,,Richard Blakeman,Upper deck faucet  hot water now has to be turned off when not in use because it leaks too much  causing water loss and constant noise from the pump.,,,87%,75% fuel,60%  telemetry reported by Shannon  psi.,25% gas left in one can.,,133825.0,,Water  loft       Yes,,,Yes. Last emptied today  April 20.,,,,,,ASSIGNED TO DIRECTOR,,,,,No,32.8  corrected,100%,100%,Yes,No,30.4,100%,100%,Yes,No,27.4,100%,100%,No,No,122.3,100%,100%,Yes,,Blue  1  2  3  and 4,No,,Cleaned the hab from top to bottom to prepare for incoming crew.,0MB at 1900.,Suits all charging  two one piece suits used  radios working fine. Comms headpieces all cleaned and prepared for incoming crew.,Cleaning and organizing for Crew 193.,See GreenHab Report.,Last cleaning check.,,None,None,None
Crew 192  19Apr2018,,Richard Blakeman,Hot water faucet in upper deck of hab  cleaned out water pump for water tank.,,,87%,75% fuel,61%  telemetry reported by Shannon  psi.,All ATVs filled 100%  25% left in one can.,,133755.8,,Water  loft       Yes,,,No. Last emptied April 16.,,,,,,ASSIGNED TO DIRECTOR,,,,,No,32.8  corrected,100%,N A,Yes,No,29.8,100%,N A,Yes,No,27.4,100%,N A,No,No,121.5,100%,100%,No,,Ethanol Free Gasoline  5 Gallon containers for ATV    All  filled 100%  25% left in one can.,No,,A great EVA was followed by cleaning and preparing the hab for Crew 193.,0MB at 1900.,Suits all charging  three one piece suits used  radios working fine. Inventoried and cleaned 30 ear pieces not including 5 our crew has.,Cleaning and organizing for Crew 193.,See GreenHab Report.,Thoroughly cleaned and prepared for next crew.,,Trailer water tank moved out of RAM and back onto trailer and secured. Doctor requests water test kit before use. Cleaned  swept and mopped RAM secured doors.,Crew was very tired after working on water tank  so afternoon EVA was changed to an engineering EVA.,Fuel for ATVs
Crew 192  18Apr2018,,Victoria Varone,None,,,66%,75% fuel,62%  telemetry reported by Shannon  psi.,All ATVs filled 100%  25% left in one can  requesting gas refill.,,133669.6,,Water  loft       Yes,,,No. Last emptied April 16.,,,,,,ASSIGNED TO DIRECTOR,,,,,Yes,32.8  corrected,100%,68%,Yes,yes,29.8,100%,81%,Yes,Yes,27.4,100%,67%,No,Yes  out of commission per Shannon,121.5,100%,100%,No,,Ethanol Free Gasoline  5 Gallon containers for ATV    All  filled 100%  25% left in one can  requesting gas refill.,No,,Some great EVAs on a beautiful day.,0MB at 1900.,Suits all charging  three one piece suits used  radios working fine.,Cooked  cleaned  and organized the hab.,See GreenHab Report.,None,,Trailer water tank remains in the RAM to air out after being cleaned for the final time yesterday  will be checked tomorrow.,None,Hab upper deck faucet hot water shut due to increasing leaks.
Crew 192  17Apr2018,,Victoria Varone,None,,,87%,75% fuel,62%  telemetry reported by Shannon  psi.,All ATVs filled 100%  25% left in one can  requesting gas refill.,,133616.7,,Water  loft       Yes,,,No. Emptied yesterday  April 16.,,,,,,ASSIGNED TO DIRECTOR,,,,,No,31.2  corrected,100%,100%,Yes,No,29.8,100%,100%,Yes,No,25.9,91%,91%,Yes,No,120,100%,100%,No,,Ethanol Free Gasoline  5 Gallon containers for ATV    All  filled 100%  25% left in one can  requesting gas refill.,No,,Crew is doing well  trying to make the best use of time for EVAs in the midst of constant strong winds.,0MB at 1900.,Suits all charging  three two piece suits used  radios working fine. Suit  4 charging port is faulty.,Cleaned and organized hab.,See GreenHab Report.,None,,Trailer water was cleaned for final time today  remains in the RAM while strong winds persist.,None,Doctor Narayanamoorthi recommends biological and chemical testing of water in trailer water tank before clearance for crew use.
Crew 192  16Apr2018,,Richard Blakeman,None,,,78%,70% fuel,63%  telemetry reported by Shannon  psi.,Approximately 4  left in one and the other is empty,,133570.4,,Water  loft       Yes,,,Yes. Emptied today  April 16.,,,,,,ASSIGNED TO DIRECTOR,,,,,Yes,38.2,100%,98%,Yes,No,29.8,100%,100%,Yes,No,25.9,100%,100%,No,Yes,120,100%,100%,No,,0.5,No,,Crew is doing well  though the bad weather is hampering our EVAs and astronomical activities.,0MB at 1900.,Suits all charging  3 two piece suits used  radios working fine.,Finished removing hab skirt as requested  kept a close eye on all hab systems as strong winds blew most of the day.,See GreenHab Report.,None,,Trailer water remains in the RAM for continued cleaning of embedded sediment.,None,Requesting trash pickup.
Crew 192  15Apr2018,,Richard Blakeman,None,,,84%,75% fuel,64%  telemetry reported by Shannon  psi.,Approximately 4  left in one and the other is empty,,133514.4,,Water  loft       Yes,,,Yes. Emptied today  15 April.,,,,,,ASSIGNED TO DIRECTOR,,,,,Yes,38.2,100%,98%,Yes,No,29.8,100%,100%,Yes,No,25.9,100%,100%,No,No,119.8,100%,100%,No,,Blue   1   2,No,,A quiet day at the hab.,0MB at 1900.,Suits all charging  two one piece suits and two two piece suits used. Radios working fine. Spacesuit 9 ventilation wasn t working yesterday  but worked today. May have just needed a charge charging port may not have been inserted all the way. All good.,Stand down day  crew relaxed around the hab. Also took the opportunity to perform some training. See commander s report.,Plants watered twice.,None,,Trailer water tank prepped for additional cleaning in the RAM.,None,None
Crew 192  12Apr2018,,Victoria Varone,Internet. WiFi was down for most of the day  every member of the crew was getting a  WiFi Connected  but No Internet  message. It s holding now after being reset but we will keep monitoring it.,,,84%,75% fuel,66%  telemetry reported by Shannon  psi.,Shannon told us we were not to worry about this gas. We have no knowledge of the gas or that 5 gallon container.,,133477.4,,Water  loft       Yes,,,No. Last emptied April 11  2018.,,,,,,ASSIGNED TO DIRECTOR,,,,,No,31,100%,100%,No,No,29.8,100%,100%,Yes,Yes,25.9,100%,91%,No,No,119.8,100%,100%,Yes,,Red ATV  Blue   1   2  and  2,No,,Crew is doing well and having a great time going on EVAs and cooking together.,Non nominal systems  . WiFi was down for most   day  every member of the crew was getting a  WiFi Connected  but No Internet  message. It s holding now after being reset but we will keep monitoring it.,Suits all charging  3 one piece suits and 2 two piece suits used. Radios working fine.,Two successful EVAs  inspected and tested Musk Observatory  first day of acceptable weather   lots of cooking.,See GreenHab report.,None,,The trailer water tank remains in the RAM for additional cleaning.,None,Spacesuit 9 s ventilation fan is not working. It worked during our first EVA but is not charging.
Crew 192  12Apr2018,,Richard Blakeman,1. Refrigerator  resolved   2. Kitchen sink faucet,The refrigerator appeared to have stopped working overnight. Outlet was inspected  fridge unplugged and plugged back in  has been working since. Will continue to monitor.,,98%,75% fuel,66%  telemetry reported by Shannon  psi.,Shannon told us we were not to worry about this gas. We have no knowledge of the gas or that 5 gallon container.,,133428.9,,Water  loft       Yes,,,No. Last emptied April 11  2018.,,,,,,ASSIGNED TO DIRECTOR,,,,,No,31,100%,100%,No,No,29.8,100%,100%,Yes,No,25.2,100%,100%,No,No,119.8,100%,100%,Yes,,Blue   1 and  3,No,,Crew is doing well.,0MB at 1900.,Suits all charging  2 one piece suits used. Radios working fine.,Cleaned and organized hab  including ceiling lights in the upper deck and various bins and shelves in lower deck. Organized food cabinets and cleaned additional kitchen appliances and pans. Fixed kitchen sink faucet.,See GreenHab report.,None,,The trailer water tank remains in the RAM for additional cleaning.,None,
,,Joe Dituri,1. The main hab door broke during the wind.,During severe winds again today  the door swung open HARD and almost came off its hinge. We ve performed a sturdy and strong repair that is holding beautifully so far.,,98%,75% fuel,66%  telemetry reported by Shannon  psi.,,,133383.5,,Water  loft       Yes,,,Yes. Last emptied April 11  2018.,,,,,,,,,,,No,31,100%,100%,No,No,29.8,100%,100%,Yes,No,25.2,100%,100%,No,No,119.8,100%,100%,Yes,,Blue   1   2  and  3,No,,Crew is doing well  we had to stay on alert today for the strong winds. Will remain alert for continued winds tomorrow.,198MB at 1930.,Suits all charging  4 one piece suits and 1 two piece suit used today  radios working fine.,Repaired main hab door latch and wooden rail after strong winds blew the door all the way out  broke the latch  and knocked the rail off the stairs. Cleaned and decontaminated the trailer water tank in the RAM. The tank requires further cleaning.,See GreenHab report.,None,,The trailer water tank was cleaned in the RAM.,,
Crew 192  11Apr2018,,Joe Dituri,Structural   the main hab EVA door.,The door swung open during the severe wind storm and knocked the top piece of the railing off. We secured the door as best we could and it swung open again. We secured it better and it s holding for now.,,98%,75% fuel,67%  telemetry reported by Shannon  psi.,Shannon told us we were not to worry about this gas,,133345.0,,Water  loft       Yes,,,No. Last emptied April 9.,,,,,,,,,,,Yes,31,100%,100%,No,No,29.8,100%,100%,Yes,No,25.2,100%,100%,Yes,No,119.8,100%,100%,No,,2,No,,Crew is doing well  we had to stay on alert today for the strong winds. Will remain alert for continued winds tomorrow.,160MB at 1930.,Suits all charging  2 one piece suits used today  radios working fine.,Cleaned both decks  moved frig and stove to clean behind  used afternoon EVA to check up around habitat after strong winds  fixed cement step in front of rear airlock as it was not secure and almost fell apart.,See GreenHab report.,Suits inspected for safety and the Science Dome was cleaned and mopped.,,The trailer water tank that we rolled into the RAM yesterday was examined further so we could devise the best way to clean it over the next few days.,In an effort to sweep the upper deck and clean behind the refrigerator  we found a spilled box of matches on the floor near the wall directly between the fridge s electrical system and propane stove. We removed the matches and swept the area. See Science Report for additional notes.,See Commander s Report.
Crew 192  10Apr2018,,Victoria Varone,None,N A,,100%,70%,68%  telemetry reported  psi.,N A,,133303.1,,Water  loft       Yes,,,No. Last emptied April 9.,,,,,,,,,,,Yes,2,100%,100%,No,No,2,100%,100%,Yes,No,0,N A,N A,No,No,0,N A,N A,Yes,,4,No,,A good day overall  the crew is doing very well.,569 MB remaining at 9 30PM.,Suits all charging  4 one piece suits used today. Radios working.,Changed out air filter  constructed minor and non permanent communications modifications for radio clips in spacesuits  secured step outside of the side airlock.,See GreenHab report.,None.,,The third large external water tank on the trailer was rolled into the RAM for cleaning during additional EVAs.,None.,The hot water faucet in the hab kitchen appears to be faulty  it was difficult to shut off after use. To avoid the loss of water  we re not going to use it.
Crew 192  09Apr2018,,Richard Blakemen,None,N A,,75%,85%,69%  telemetry reported  psi.,N A,,38 gallons,,Water  loft       Yes,,,Yes  emptied today  April 9.,,,,,,,,,,,No,,,,No,No,,,,No,No,,,,Yes,Yes,1,100%,99%,Yes,,1 hour,No,,N A,569 MB remaining at 9 30PM.,Suits all charging  2 suits used  radios working.,Fixed one light bulb in airlock  fixed stepladder  fixed window in main airlock.,See GreenHab reports.,None.,,None.,None.,None.
Crew 191  07 04 2018,SOL  14,Wataru Okamoto,Water Tank,We cleaned up all tank. Loft water filter is already ordered by Dr. Shannon. Now water line is not filter line another line bypassed.,,83,80%,70psi.,.,,133208.1,,Water  loft   Yes,,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,Yes,30.2h,100%,100%,,,28.8h,100%,100%,,Yes,25.1h,100%,100%,plugged,Yes,118.6,%,%,plugged,,,We went to Hanksville 3 times. Because water supply.,,We explain to CREW192 about engineering.,No problem,5 charger of the backpack out of order.,We supply the black tank 20%.,No problem,CREW192 member will sleep inside the dome tonight.,,N A,No Problem,Thank you for your support. We completed the mission.
Crew 191  04 06 2018,SOL  13,Wataru Okamoto,Solar system  Water Tank,Solar system seems normal operating. We attach SOL13 parameter. We take care of water system.,,Non nominal systems   system  Water Tank,90%,70psi.,.,,133158.2,,Water  loft   Yes,,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,Yes,30.4h,100%,98%,,,28.8h,100%,%,,Yes,25.0h,100%,97%,plugged,Yes,118.6h,100%,99%,plugged,,,We went to Hanksville. Because water supply.,,Solar system seems normal operating. We attach SOL13 parameter.,No problem,5 charger of the backpack out of order.,We supply the black tank 20%. The fluorescent light on the first floor near the stairs blinking.,No problem,Only use checking the solar system.,,No problem,No problem,We need two fluorescent light.
Crew 191  05 04 2018,SOL  12,Wataru Okamoto,Solar system  Water Tank,Solar system seems extremely unusual. Now it is normal operation. We are keeping a detailed monitoring. We attach SOL12 parameter.,,Non nominal systems   system  Water Tank,80%,70psi.,.,Questions  concerns and requests to Mission Support  We need  filter  a lot of paper towels for clean up the  . We already mailed to Dr. Shannon.,133080.4,,Water  loft   Yes,,,,,,,,,ASSIGNED TO DIRECTOR,,,,,,29.4h,100%,%,,,28.8h,100%,%,,,24.3h,100 %,%,,,117.9h,100%,%,plugged,,,,,Solar system seems extremely unusual. Now it is normal operation. We are keeping a detailed monitoring. We attach SOL12 parameter.,No problem,5 charger of the backpack out of order.,We cleaned the black tank.,No problem,Only use checking the solar system.,,No problem,No problem,We need water filter  a lot of paper towels for clean up the Loft tank . We already mailed to Dr. Shannon.
Crew 191  04 04 2018,SOL  11,Wataru Okamoto,Solar system  Water Tank,Solar system seems still a bit unusual. But it becomes better and better. We are keeping a detailed monitoring. We attach SOL11 parameter.,,Non nominal systems   system  Water Tank,7 8,70psi.,.,,133080.4,,Water  loft   Yes,,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,,29.3h,100%,,,Yes,28.8h,100%,99%,plugged,Yes,24.3h,100%,100%,,Yes,117.9h,100%,100%,plugged,,,We cleaned the white tank and the tank on the .,,Solar system seems still a bit unusual. But it becomes better and better. We are keeping a detailed monitoring.,No problem,5 charger of the backpack out of order.,We cleaned the tanks. Dr. Shannon supplied us the drinking water.,No problem,Only use checking the solar system.,,We have cleaned the tank inside M.,No problem,5 charger of the backpack out of order. Please supply us.
Crew 191  03 04 2018,SOL  10,Wataru Okamoto,Solar system  Water Tank,Solar system seems still a bit unusual. But it becomes better and better. We are keeping a detailed monitoring. We attach SOL10 parameter. We cleaned the white tank and the water pump today.,,Non nominal systems   system  Water Tank,90%,70psi.,6.,,133052.2,,Water  loft   Yes,,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,,29.2h,100%,%,,,28.4h,100%,%,,,23.8h,100%,%,,Yes,117.4h,100%,100%,Yes,,,,,Solar system seems still a bit unusual. I checked all battery chargers of the backpack in the HAB.,Under control,5 charging cable of backpack can t work.,Dr. Shannon supplied us the drinking water.,No problem,Only use checking the solar system.,,The white water tank has been set from yesterday. We had started cleaning it from today.,No problem,
Crew 191  02 04 2018,SOL  9,Wataru Okamoto,Solar system  Water Tank,Solar system seems still unusual from Sol5. But Solar system condition better than yesterday.Please reference under General notes. We collected sub tank contamination.,,Non nominal systems   system  Water Tank,Almost FULL,72psi.,6.,,132936.4,,Water  loft   Yes,,,Yes,,,,,,ASSIGNED TO DIRECTOR,,,,,,29.2h,100%,100%,,,28.4h,100%,100%,,,23.8h,100%,100%,,,117.0h,100%,100%,Yes,,,,,Notes on non nominal systems  Solar system seems still unusual from Sol5. But Solar system condition better than yesterday.Please reference under General notes. We collected sub tank contamination.,Under control,,No problem,No problem,,,The sub water tank was carried to M.,No problem,
Crew 191  01 04 2018,SOL  8,Wataru Okamoto,Solar system,Solar system seems still unusual from Sol5. Please reference under General notes.,,Non nominal systems   system,Almost FULL,71psi.,6.,,132912.6,,Water  loft   Yes,,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,Morisawa,29.2h,100%,100%,Yes,,28.4h,100%,100%,plugged,Okamoto,23.8h,100%,100%,Yes,,117.0h,100%,100%,Yes,,,,,Notes on non nominal systems  Solar system seems still unusual from Sol5. Please reference under General notes.,Under control,We are checking radios sensitivity.,No problem,No problem,Only use checking the solar system.,,N A,No problem,We want to charge the battery exchanged No.5 backpack. External Voltage converter in the tool box seem to have been not work. We search another one.
Crew 191  31 03 2018,SOL 7,Wataru Okamoto,Solar System  Trailer water,,,Non nominal systems   System  Trailer water,Almost FULL,72psi.,6.,,132889.1,,Water  loft   yes,,,no,,,,,,ASSIGNED TO DIRECTOR,,,,,,27.9h,100%,100%,yes,,28.4h,100%,100%,yes,,23.7h,100%,100%,yes,,116.9,100%,100%,yes,,N A,,,Solar system seems unusual from before yesterday. The findings of the monitoring are that solar charger system looks fine  but the number of monitor telling us wrong result for some while. We will keep monitoring. We attach the file of SOL7 solar battery parameter.,Under control,Suits are all fine. We will make the list of radios.,No problem,No problem,Only use checking the solar system.,,N A,No problem,N A
Crew 191 30 03 2018,SOL 6,Wataru Okamoto,Solar System,Solar system seems unusual from yesterday. P05 error code are there.,,Non nominal systems   System,100%,70psi.,6.,,132861.4,,Water  loft   yes,,,yes,,,,,,ASSIGNED TO DIRECTOR,,,,,,27.9h,100%,100%,100%,Murakami  Okamoto,28.4h,100%,86%,yes,Venza  Kawamura,23.7h,100%,98%,yes,,116.9,100%,100%,100%,,N A,,,Solar system seems unusual from yesterday. We had precise monitoring and also discussion about this problem with Dr. Shannon this morning. The findings of the monitoring are that solar charger system looks fine  but the number of monitor telling us wrong result for some a while. For example  11 11 SOC has changes from 63% to 100% suddenly. We will keep monitoring. Attached is the solar battery parameter.,Under control,No problem,Shower heater doesn t work.,No problem,Only use checking the solar system.,,N A,No problem,
Crew 191  30 03 2018,SOL 6,Wataru Okamoto,Solar System,Solar system seems unusual from yesterday. P05 error code are there.,,Non nominal systems   System,under 25%,70psi.,6.,,132861.4,,Water  loft   yes,,,yes,,,,,,ASSIGNED TO DIRECTOR,,,,,,27.9h,100%,100%,100%,Murakami  Okamoto,28.4h,100%,86%,yes,Venza  Kawamura,23.7h,100%,98%,yes,,116.9,100%,100%,100%,,N A,,,Solar system seems unusual from yesterday. We had precise monitoring and also discussion about this problem with Dr. Shannon this morning. The findings of the monitoring are that solar charger system looks fine  but the number of monitor telling us wrong result for some a while. For example  11 11 SOC has changes from 63% to 100% suddenly. We will keep monitoring.,Under control,No problem,Shower heater doesn t work.,No problem,Only use checking the solar system.,,N A,No problem,
Crew 191  29 03 2018,SOL 5,Wataru Okamoto,Solar System,Solar system seems unusual in this morning. Now it looks stable.,,Non nominal systems   System,under 25%,72psi.,7.,,16 00 132835.5,,Water  loft   yes,,,no,,,,,,ASSIGNED TO DIRECTOR,,,,,,27.9h,100%,100%,100%,Morisawa  Takeda,27.4h,100%,99%,99%,Tsukishiro,22.7h,100%,97%,97%,,116.9,100%,100%,100%,,N A,,,Solar system seems unusual in this morning. We have discussion about this problem with Dr. Shannon and now it seems stable. We will keep monitoring.,Under control,The surface of helmet polished by Plexus   microfiber clothes.,Shower heater doesn t work.,No problem,Only use checking the solar system.,,N A,No problem,
Crew 191  28 03 2018,SOL 4,Wataru Okamoto,N A,N A,,,under 25%,72psi.,7.,,7,,Water  loft   yes,,,no,,,,,,ASSIGNED TO DIRECTOR,,,,,,27.9h,100%,100%,100%,Tsukishiro  Takeda,26.9h,100%,100%,100%,Morisawa,22.2h,100%,100%,100%,,,,,,,N A,,,,Under control,One of radios s  Midland GXT X TRA TALK  internal microphone doesn t work. But if connect an external microphone it can still be use.,Shower heater doesn t work.,No problem,Only use checking the solar system.,,N A,No problem,
Crew 191  27 03 2018,SOL 3,Wataru Okamoto,N A,N A,,96,25%,70psi.,7.,,7 50 6 132778.1  pump 14 16 00 10 132790.2,,Water  loft   yes,,,yes,,,,,,ASSIGNED TO DIRECTOR,,,,,,27.9h,100%,100%,100%,,26.9h,100%,100%,100%,,22.1h,100%,100%,100%,,,,,,,,,,I didn t turn off the Diesel generator in this morning. I turned off the Diesel generator after 50 minuites. It s my mistake.I ll turn off when amount of battery is over 80%.,Under control,No.5 Backpack Battery was 6.8V after charging. cSo another 13V battery was installed.2 Backpack belt have repaired,No problem,No problem,Only use checking the solar system.,,N A,No problem,Please charge the Diesel gas.
,SOL  11,Bastien BAIX,noisy pump  see end of report below,,,Generator  hours run   Turned off at 12.40 pm and turned on at 6.30 pm     80,25%,80%,1 ½ full jerrycans.,,132 585.7,,Water  loft       YES,,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,26.9,100%,,NO,YES,26,100%,93%,NO,YES,20.8,100%,91%,YES,NO,116.7,100%,,YES,,_,,,,120 Mb remaining,,,,,,,,
Crew 190  21th March 2018,SOL  10,Bastien BAIX,Two water pumps  tank to tank pump  interior Hab pump,tank to tank pump is taking significantly longer than normal  pump is used to transfer water from the exterior water tank to the interior tank . Interior pump  used to inject water into the Hab water system is making strange noises. Cause is unknown. Should we worry about it,,,35%,80%,1 ½ full jerrycans.,,132 529.4,,Water  loft       YES,,,YES,,,,,,ASSIGNED TO DIRECTOR,,,,,YES,26.9,100%,95%,YES,YES,25 7,100%,90%,YES,NO,20.4,100%,,NO,NO,116.7,100%,,YES,,_,,,,180 Mb remaining,,Bastien and Martin working on their experiments,Mario and Fred working on their experiments,Ariane  Michael  Maximilien and Fred working on their experiments,,Sophie working on her muon detector,,
Crew 190  20th March 2018,SOL  9,Bastien BAIX,,,,77,45%,81%,1 ½ full jerrycans.,,132 470.8,,Water  loft       YES,,,YES,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,26.2,71%,,NO,NO,25,100%,,NO,NO,20.7,82%,,YES,NO,116.6,100%,,NO,,_,,,The water level of the aquapony system is lowering due to evaporation  should we refill it,0 Mb remaining,,Power charging to rovers resolved. Fuses were being blown when two outlets were being used. With one cord the issue is resolved.,,,,,,
Crew 190  18th March 2018,SOL  7,Bastien BAIX,Ventilation cover fell.,,,85,45%,81%,2 empty jerrycans.,,132 355.8,,Water  loft       YES,,,YES,,,,,,ASSIGNED TO DIRECTOR,,,,,YES,26.1,100%,43%,NO,YES,25,100%,30%,YES,YES,20.7,100%,55%,YES,NO,116.6,100%,,NO,,_,,,,270 Mb remaining,,day off,,Fred working on their experiments.,,the muon detector of Sophie is remotely controlled from the Hab,,
